"DATE AND DEADLINE","TITLE","VENUE AND ORGANIZER"
"18-19 March2 days DEADLINE: 31.01.26","Advanced Large Cases Units  work","THE NETHERLANDSORGANIZER: EUROSTAT"
"21-22 April  2026                   2 daysDEADLINE: 22.02.26","Economic classifications: methodology and application – Introduction – 2026","LUXEMBOURGORGANIZER: EUROSTAT"
"18–22 May 2026 - Part I     5 days 9–13 November 2026 - Part II     5 days DEADLINE: 13.04.26","Government Finance Statistics and Excessive Deficit Procedure - Part I and Part II","ATHENSORGANIZER: EUROSTAT"
"19-20 May  2026                   2 days DEADLINE: 27.03.26","The EuroGroups Resiter (EGR) for Producers","LUXEMBOURGORGANIZER: EUROSTAT"
"15–19 June 2026 - Part I     5 days30 November - 04 December 2026 - Part II     5 days DEADLINE: 04.05.26","Government Finance Statistics and Excessive Deficit Procedure - Part I and Part II","LUXEMBOURGORGANIZER: EUROSTAT"
"22-24 September  2026                   3 days DEADLINE: 20.07.26","Economic classifications: methodology and application – Advanced","LUXEMBOURGORGANIZER: EUROSTAT"
"16-20 November  2026      5 days DEADLINE: 30.09.2026","Introduction to data and metadata exchange in the European Statistical System","ONLINEORGANIZER: EUROSTAT"
